0 {'H': 0.5, 'W': 0.5} 2
1 {'H': 0.0, 'W': 1.0} 1
2 {'H': 0.3333333333333333, 'W': 0.6666666666666666} 3
3 {'H': 0.3333333333333333, 'W': 0.6666666666666666} 3
4 {'H': 0.3333333333333333, 'W': 0.6666666666666666} 3
5 {'H': 0.4, 'W': 0.6} 5
6 {'H': 0.25, 'W': 0.75} 4
7 {'H': 0.4, 'W': 0.6} 5
8 {'H': 0.25, 'W': 0.75} 4
9 {'H': 0.4, 'W': 0.6} 5
10 {'H': 0.25, 'W': 0.75} 4
11 {'H': 0.4, 'W': 0.6} 5
12 {'H': 0.25, 'W': 0.75} 4
13 {'H': 0.4, 'W': 0.6} 5
14 {'H': 0.25, 'W': 0.75} 4
15 {'H': 0.42857142857142855, 'W': 0.5714285714285714} 7
16 {'H': 0.3333333333333333, 'W': 0.6666666666666666} 6
17 {'H': 0.2, 'W': 0.8} 5
18 {'H': 0.42857142857142855, 'W': 0.5714285714285714} 7
19 {'H': 0.3333333333333333, 'W': 0.6666666666666666} 6
20 {'H': 0.2, 'W': 0.8} 5
21 {'H': 0.42857142857142855, 'W': 0.5714285714285714} 7
22 {'H': 0.3333333333333333, 'W': 0.6666666666666666} 6
23 {'H': 0.2, 'W': 0.8} 5
24 {'H': 0.42857142857142855, 'W': 0.5714285714285714} 7
25 {'H': 0.3333333333333333, 'W': 0.6666666666666666} 6
26 {'H': 0.2, 'W': 0.8} 5
27 {'H': 0.42857142857142855, 'W': 0.5714285714285714} 7
28 {'H': 0.3333333333333333, 'W': 0.6666666666666666} 6
29 {'H': 0.2, 'W': 0.8} 5
30 {'H': 0.42857142857142855, 'W': 0.5714285714285714} 7
31 {'H': 0.3333333333333333, 'W': 0.6666666666666666} 6
32 {'H': 0.2, 'W': 0.8} 5
33 {'H': 0.42857142857142855, 'W': 0.5714285714285714} 7
34 {'H': 0.3333333333333333, 'W': 0.6666666666666666} 6
35 {'H': 0.2, 'W': 0.8} 5
36 {'H': 0.42857142857142855, 'W': 0.5714285714285714} 7
37 {'H': 0.3333333333333333, 'W': 0.6666666666666666} 6
38 {'H': 0.2, 'W': 0.8} 5
39 {'H': 0.42857142857142855, 'W': 0.5714285714285714} 7
40 {'H': 0.3333333333333333, 'W': 0.6666666666666666} 6
41 {'H': 0.2, 'W': 0.8} 5
42 {'H': 0.42857142857142855, 'W': 0.5714285714285714} 7
43 {'H': 0.2, 'W': 0.8} 5
44 {'H': 0.42857142857142855, 'W': 0.5714285714285714} 7
45 {'H': 0.2, 'W': 0.8} 5
46 {'H': 0.42857142857142855, 'W': 0.5714285714285714} 7
47 {'H': 0.2, 'W': 0.8} 5
48 {'H': 0.4444444444444444, 'W': 0.5555555555555556} 9
49 {'H': 0.375, 'W': 0.625} 8
50 {'H': 0.375, 'W': 0.625} 8
51 {'H': 0.2857142857142857, 'W': 0.7142857142857143} 7
52 {'H': 0.2857142857142857, 'W': 0.7142857142857143} 7
53 {'H': 0.16666666666666666, 'W': 0.8333333333333334} 6
54 {'H': 0.4444444444444444, 'W': 0.5555555555555556} 9
55 {'H': 0.375, 'W': 0.625} 8
56 {'H': 0.375, 'W': 0.625} 8
57 {'H': 0.2857142857142857, 'W': 0.7142857142857143} 7
58 {'H': 0.2857142857142857, 'W': 0.7142857142857143} 7
59 {'H': 0.16666666666666666, 'W': 0.8333333333333334} 6
60 {'H': 0.4444444444444444, 'W': 0.5555555555555556} 9
61 {'H': 0.375, 'W': 0.625} 8
62 {'H': 0.375, 'W': 0.625} 8
63 {'H': 0.2857142857142857, 'W': 0.7142857142857143} 7
64 {'H': 0.2857142857142857, 'W': 0.7142857142857143} 7
65 {'H': 0.16666666666666666, 'W': 0.8333333333333334} 6
66 {'H': 0.4444444444444444, 'W': 0.5555555555555556} 9
67 {'H': 0.375, 'W': 0.625} 8
68 {'H': 0.375, 'W': 0.625} 8
69 {'H': 0.2857142857142857, 'W': 0.7142857142857143} 7
70 {'H': 0.2857142857142857, 'W': 0.7142857142857143} 7
71 {'H': 0.16666666666666666, 'W': 0.8333333333333334} 6
72 {'H': 0.4444444444444444, 'W': 0.5555555555555556} 9
73 {'H': 0.375, 'W': 0.625} 8
74 {'H': 0.375, 'W': 0.625} 8
75 {'H': 0.2857142857142857, 'W': 0.7142857142857143} 7
