Atoms(symbols='W2', pbc=True, cell=[3.19, 3.19, 3.19])
[[0.  0.  0. ]
 [0.5 0.5 0.5]]
0 {'H': 0.8571428571428571, 'W': 0.14285714285714285} 14
1 {'H': 0.8461538461538461, 'W': 0.15384615384615385} 13
2 {'H': 0.8333333333333334, 'W': 0.16666666666666666} 12
3 {'H': 0.8333333333333334, 'W': 0.16666666666666666} 12
4 {'H': 0.8333333333333334, 'W': 0.16666666666666666} 12
5 {'H': 0.8181818181818182, 'W': 0.18181818181818182} 11
6 {'H': 0.8181818181818182, 'W': 0.18181818181818182} 11
7 {'H': 0.8, 'W': 0.2} 10
8 {'H': 0.8, 'W': 0.2} 10
9 {'H': 0.8181818181818182, 'W': 0.18181818181818182} 11
10 {'H': 0.8, 'W': 0.2} 10
11 {'H': 0.7777777777777778, 'W': 0.2222222222222222} 9
12 {'H': 0.75, 'W': 0.25} 8
13 {'H': 0.8333333333333334, 'W': 0.16666666666666666} 12
14 {'H': 0.8181818181818182, 'W': 0.18181818181818182} 11
15 {'H': 0.8181818181818182, 'W': 0.18181818181818182} 11
16 {'H': 0.8, 'W': 0.2} 10
17 {'H': 0.8, 'W': 0.2} 10
18 {'H': 0.8, 'W': 0.2} 10
19 {'H': 0.7777777777777778, 'W': 0.2222222222222222} 9
20 {'H': 0.8333333333333334, 'W': 0.16666666666666666} 12
21 {'H': 0.8181818181818182, 'W': 0.18181818181818182} 11
22 {'H': 0.8, 'W': 0.2} 10
23 {'H': 0.8181818181818182, 'W': 0.18181818181818182} 11
24 {'H': 0.8, 'W': 0.2} 10
25 {'H': 0.8, 'W': 0.2} 10
26 {'H': 0.7777777777777778, 'W': 0.2222222222222222} 9
27 {'H': 0.8, 'W': 0.2} 10
28 {'H': 0.8, 'W': 0.2} 10
29 {'H': 0.7777777777777778, 'W': 0.2222222222222222} 9
30 {'H': 0.7777777777777778, 'W': 0.2222222222222222} 9
31 {'H': 0.7777777777777778, 'W': 0.2222222222222222} 9
32 {'H': 0.75, 'W': 0.25} 8
33 {'H': 0.8, 'W': 0.2} 10
34 {'H': 0.7777777777777778, 'W': 0.2222222222222222} 9
35 {'H': 0.75, 'W': 0.25} 8
